id,plate,car_label,vehicle_id,event_status,out_date,expected_return_date,follow_date,actual_in_date,driver,liable_party,charge_to,garage,maintenance_type,service_main,service_sup,damage_location,severity,responsible,spare_part,invoice_no,cost,maintenance_notes,cost_notes
59713,"K 20773","NISSAN PATROL - Brown - 2019 - K 20773",1835,"Follow up",2023-09-19,2023-09-29,2023-09-28,,,,,"ISSA ALABD",,,,,,,,,,"getway control module bought",
59714,"G 87143","NISSAN PATROL - Tiffany Black - 2020 - G 87143",1834,IN,2023-09-01,2023-09-28,2023-09-28,,TAYEEF,,,"KUL FRAZ",,,,,,,,,,"cameras adaptation/// screen is after market and needs replacment that's why the cameras is not adapting// they didn't fix anything",
59715,"G 87143","NISSAN PATROL - Tiffany Black - 2020 - G 87143",1834,Change,2023-09-01,2023-09-28,2023-09-28,,TAYEEF,,,HAWAK,,,,,,,,,,"installing back the previous screen",
59716,"G 87143","NISSAN PATROL - Tiffany Black - 2020 - G 87143",1834,IN,2023-09-01,2023-09-28,2023-09-28,,TAYEEF,,,HAWAK,,,,,,,,,,"previous screen installed",
59717,"G 87143","NISSAN PATROL - Tiffany Black - 2020 - G 87143",1834,Change,2023-09-01,2023-09-28,2023-09-28,,TAYEEF,,,"LAMSET FAN",,,,,,,,,,"installing back the previous screen// the garage said the problem is from the mirror",
59718,"G 87143","NISSAN PATROL - Tiffany Black - 2020 - G 87143",1834,IN,2023-09-01,2023-09-28,2023-09-28,,TAYEEF,,,"LAMSET FAN",,,,,,,,,,"cameras programming , and the car scratched by the garage",
59719,"G 87143","NISSAN PATROL - Tiffany Black - 2020 - G 87143",1834,Change,2023-09-01,2023-09-28,2023-09-28,,TAYEEF,,,"HOT LINE",,,,,,,,,,"to change mirrors",
59720,"G 87143","NISSAN PATROL - Tiffany Black - 2020 - G 87143",1834,IN,2023-09-01,2023-09-28,2023-09-28,,TAYEEF,,,"LAMSET FAN",,,,,,,,,,"installing back the previous screen// the garage said the problem is from the mirror and the car got a scratch in the garage",
59721,"G 87143","NISSAN PATROL - Tiffany Black - 2020 - G 87143",1834,Change,2023-09-01,2023-09-29,2023-09-28,,TAYEEF,,,"LAMSET FAN",,,,,,,,,,"fixing the scratch and asking for the mirrors",
59722,"Y 32498","NISSAN PATROL NISMO - Black - 2019 - Y 32498",1788,"Follow up",,2023-09-29,2023-09-28,,ABDULLAH,,,"HOT LINE",,,,,,,,,,"front and rear bumper needs polish ,front sensors and right headlight need to check , oil and filter need to change///////  oil and filter changed , front sensors fixed auixilary coolant fan installed",
59723,"N 85805","NISSAN PATROL NISMO - Blue - 2019 - N 85805",1796,OUT,,2023-09-28,2023-09-28,,,,,"TIRE AND MORE",,,,,,,,,,"car is not starting",
59724,"N 85805","NISSAN PATROL NISMO - Blue - 2019 - N 85805",1796,IN,,2023-09-28,2023-09-28,,,,,"TIRE AND MORE",,,,,,,,,,"car battery replaced",
59725,"R 98793","AUDI Q3 - Bright White - 2021 - R 98793",1791,"Follow up",2023-09-19,2023-09-30,2023-09-29,,,,,"HOT LINE",,,,,,,,,,"fornt left and rear left full doors received and today they'll start reparing the car/// doors installed , and the other parts will recieved at night//// waiting for front bumper holder and headlights",
59726,"O 3125","DODGE CHALLENGER - Black Green - 2020 - O 3125",1741,OUT,2023-09-29,2023-09-30,2023-09-29,,ABDULLAH,,,"HOT LINE",,,,,,,,,,"front hood painting needs fix",
59727,"U 76722","FORD MUSTANG Conv - White Black Red - 2019 - U 76722",1737,OUT,2023-09-29,2023-09-29,2023-09-29,,Waqar,,,"POWER POINT",,,,,,,,,,"front lip needs fixing",
59728,"U 76722","FORD MUSTANG Conv - White Black Red - 2019 - U 76722",1737,IN,2023-09-29,2023-09-29,2023-09-29,2023-09-29,Waqar,,,"POWER POINT",,,,,,,,,,"front lip fixed",
59729,"Q 65278","HYUNDAI VELOSTER - Grey - 2019 - Q 65278",1712,OUT,2023-09-29,2023-09-30,2023-09-29,,ABDULLAH,,,"FUTURE TYRES",,,,,,,,,,"Need to check front right side suspension have sound",
59730,"Q 65278","HYUNDAI VELOSTER - Grey - 2019 - Q 65278",1712,IN,2023-09-29,2023-09-29,2023-09-29,,ABDULLAH,,,"FUTURE TYRES",,,,,,,,,,"right engine mount needs replacement",
59731,"Q 65278","HYUNDAI VELOSTER - Grey - 2019 - Q 65278",1712,Change,2023-09-29,2023-09-29,2023-09-29,,ABDULLAH,,,"POWER POINT",,,,,,,,,,"to check on engine mount",
59732,"Q 65278","HYUNDAI VELOSTER - Grey - 2019 - Q 65278",1712,IN,2023-09-29,2023-09-29,2023-09-29,,ABDULLAH,,,"POWER POINT",,,,,,,,,,"right engine mount needs replacement and abdullah will bring it tmw",
59733,"Q 65278","HYUNDAI VELOSTER - Grey - 2019 - Q 65278",1712,Change,2023-09-29,2023-09-30,2023-09-29,,ABDULLAH,,,"TIRE AND MORE",,,,,,,,,,"wheels alignmet",
59734,"K 20783","MERCEDES GLE 350 - White - 2022 - K 20783",1837,"Follow up",2023-09-06,2023-10-03,2023-09-29,,,,,"HOT LINE",,,,,,,,,,"drums are turning , and brakes checking , will be ready in 2 days///// dome light is not working , engine light , needs polish//// polishing the car/// searhing for dome light wire , and asking if we need to change rims , and the cabin needs cleaning , the car needs polishing",
59735,"X 76815","MG6 - Red - 2019 - X 76815",1806,Delay,2023-09-19,,2023-09-29,2023-09-30,,,,"HOT LINE",,,,,,,,,,"parts recieved , radiator and consender will recieve tmw // didn't receive the radiater and consender yet , trasmission crack case replaced\\ painting started all parts arrived",
59736,"G 87143","NISSAN PATROL - Tiffany Black - 2020 - G 87143",1834,Delay,2023-09-01,2023-09-30,2023-09-29,,TAYEEF,,,"LAMSET FAN",,,,,,,,,,"fixing the scratch and asking for the mirrors /// bought new cameras to test it and diagnosing the cameras wires",
59737,"R 90428","NISSAN PATROL BLACK HAWK - Black - 2019 - R 90428",1799,"Follow up",,2023-10-02,2023-09-29,,,,,"HOT LINE",,,,,,,,,,"accident // the incurance company will check on the car today , and we will start the work// still waiting for insurance company// the maintenance started",
59738,"Y 15721","NISSAN PATROL NISMO - Silver Black - 2020 - Y 15721",1795,OUT,,2023-09-29,2023-09-29,,PETER,,,"POWER POINT",,,,,,,,,,"Air bag light : curtin A/B module LH open circut",
59739,"Y 15721","NISSAN PATROL NISMO - Silver Black - 2020 - Y 15721",1795,IN,,2023-09-29,2023-09-29,,PETER,,,"POWER POINT",,,,,,,,,,"Air bag fixed",
59740,"R 98793","AUDI Q3 - Bright White - 2021 - R 98793",1791,"Follow up",2023-09-19,2023-10-05,2023-09-30,,,,,"HOT LINE",,,,,,,,,,"fornt left and rear left full doors received and today they'll start reparing the car/// doors installed , and the other parts will recieved at night",
59741,"C 47377","BMW X5 - Grey - 2023 - C 47377",1809,OUT,2023-09-30,2023-09-30,2023-09-30,,ABDULLAH,,,"7 CYLINDER",,,,,,,,,,"3 rim and 1 tire",
59742,"C 47377","BMW X5 - Grey - 2023 - C 47377",1809,IN,2023-09-30,2023-09-30,2023-09-30,2023-09-30,ABDULLAH,,,"7 CYLINDER",,,,,,,,,,"rim scratched painted",
59743,"O 3125","DODGE CHALLENGER - Black Green - 2020 - O 3125",1741,Delay,2023-09-29,2023-10-02,2023-09-30,2023-09-30,ABDULLAH,,,"HOT LINE",,,,,,,,,,"front hood painting needs fix",
59744,"K 20797","FORD MUSTANG - Red Black - 2021 - K 20797",1812,"Follow up",2023-09-01,2023-09-30,2023-09-30,2023-09-30,,,,"POWER POINT",,,,,,,,,,"still working with ABS wire , and mirror needs replacment for blindspot// the mirror will be sent to hotline to replace it with a mirror with blind spot cause they bought it and the car is ready from power point/// there was a wire disconnecting ( from mirror till rear bumper )",
59745,"V 63249","FORD MUSTANG Conv - Blue Orange - 2020 - V 63249",1776,OUT,2023-09-30,2023-09-30,2023-09-30,,TAYEEF,,,"POWER POINT",,,,,,,,,,"car is not starting",
59746,"V 63249","FORD MUSTANG Conv - Blue Orange - 2020 - V 63249",1776,IN,2023-09-30,2023-09-30,2023-09-30,2023-09-30,TAYEEF,,,"POWER POINT",,,,,,,,,,"car battery replaced",
59747,"S 13049","FORD MUSTANG Conv - Silver Blue Black - 2019 - S 13049",1940,OUT,2023-09-30,2023-10-01,2023-09-30,2023-10-01,ABDULLAH,,,"7 CYLINDER",,,,,,,,,,"rear rims scratches , right side lip",
59748,"Q 65278","HYUNDAI VELOSTER - Grey - 2019 - Q 65278",1712,IN,2023-09-29,2023-09-30,2023-09-30,,ABDULLAH,,,"TIRE AND MORE",,,,,,,,,,"wheels aligned",
59749,"Q 65278","HYUNDAI VELOSTER - Grey - 2019 - Q 65278",1712,Change,2023-09-29,2023-09-30,2023-09-30,,ABDULLAH,,,"7 CYLINDER",,,,,,,,,,scratches,
59750,"Q 65278","HYUNDAI VELOSTER - Grey - 2019 - Q 65278",1712,IN,2023-09-29,2023-09-30,2023-09-30,,ABDULLAH,,,"7 CYLINDER",,,,,,,,,,"all scratches and rear bumper and rims painted",
59751,"Q 65278","HYUNDAI VELOSTER - Grey - 2019 - Q 65278",1712,Change,2023-09-29,2023-10-01,2023-09-30,2023-09-30,ABDULLAH,,,"POWER POINT",,,,,,,,,,"to installing right engine mount",
59752,"S 52895","MERCEDES CLA250 - Black - 2018 - S 52895",1716,"Follow up",2023-09-28,2023-09-30,2023-09-30,2023-09-30,ABDULLAH,,,"ALQWH AL ZAADH",,,,,,,,,,"coolant liquid is low , auxilary batteray malufaction , TPMS lights",
59753,"K 20783","MERCEDES GLE 350 - White - 2022 - K 20783",1837,IN,2023-09-07,2023-09-30,2023-09-30,,,,,"HOT LINE",,,,,,,,,,"drums are turning , and brakes checking , will be ready in 2 days///// dome light is not working , engine light , needs polish//// polishing the car/// searhing for dome light wire , and asking if we need to change rims , and the cabin needs cleaning , the car needs polishing",
59754,"K 20783","MERCEDES GLE 350 - White - 2022 - K 20783",1837,Change,2023-09-08,2023-10-03,2023-09-30,2023-09-30,,,,"SMART CAR",,,,,,,,,,"drums are turning , and brakes checking , will be ready in 2 days///// dome light is not working , engine light , needs polish//// polishing the car/// searhing for dome light wire , and asking if we need to change rims , and the cabin needs cleaning , the car needs polishing",
59755,"K 20773","NISSAN PATROL - Brown - 2019 - K 20773",1835,"Follow up",2023-09-19,2023-10-01,2023-09-30,2023-09-30,,,,"ISSA ALABD",,,,,,,,,,"getway control module checking and installing",
59756,"G 87143","NISSAN PATROL - Tiffany Black - 2020 - G 87143",1834,IN,2023-09-01,2023-09-30,2023-09-30,2023-09-30,TAYEEF,,,"HOT LINE",,,,,,,,,,"mirrors replaced and programmed , front left finder fixed and painted , front bumper painted",
59757,"R 90428","NISSAN PATROL BLACK HAWK - Black - 2019 - R 90428",1799,IN,,2023-09-30,2023-09-30,,TAYEEF,,,"HOT LINE",,,,,,,,,,"rear bumper and rear bumper plastic covers fixed and painted , rear sensors fixed , exhaust fixed",
59758,"Y 32498","NISSAN PATROL NISMO - Black - 2019 - Y 32498",1788,"Follow up",,2023-09-30,2023-09-30,,ABDULLAH,,,"HOT LINE",,,,,,,,,,"front and rear bumper needs polish ,front sensors and right headlight need to check , oil and filter need to change///////  oil and filter changed , front sensors fixed auixilary coolant fan installed/// brake pads replaced , drum skimmed , painting and polishing will start",
59759,"Y 32498","NISSAN PATROL NISMO - Black - 2019 - Y 32498",1788,IN,,2023-09-30,2023-09-30,,ABDULLAH,,,"HOT LINE",,,,,,,,,,"oil and filter changed , front and rear bumper red lines painted , front sensors fixed , side mirrors painted , 4 brake pads replaced and 4 drums skimmed ,auixillary cooling fan installed",
59760,"Y 15721","NISSAN PATROL NISMO - Silver Black - 2020 - Y 15721",1795,OUT,,2023-10-01,2023-09-30,,PETER,,,"POWER POINT",,,,,,,,,,"airbag light and front sensor",
59761,"I 30189","VOLKSWAGEN BEETEL - Blue - 2019 - I 30189",1797,OUT,,2023-09-30,2023-09-30,,ABDULLAH,,,"TIRE AND MORE",,,,,,,,,,"oil and filter changing",
59762,"I 30189","VOLKSWAGEN BEETEL - Blue - 2019 - I 30189",1797,IN,,2023-09-30,2023-09-30,,ABDULLAH,,,"TIRE AND MORE",,,,,,,,,,"oil and filter changed",
59763,"K 20797","FORD MUSTANG - Red Black - 2021 - K 20797",1812,"Follow up",2023-10-01,2023-10-01,2023-10-01,,,,,"POWER POINT",,,,,,,,,,"still working with ABS wire , and mirror needs replacment for blindspot// the mirror will be sent to hotline to replace it with a mirror with blind spot cause they bought it and the car is ready from power point/// there was a wire disconnecting ( from mirror till rear bumper )",
59764,"G 54092","FORD MUSTANG Conv - Grey Black - 2019 - G 54092",1761,OUT,2023-10-01,2023-10-01,2023-10-01,,Waqar,,,"POWER POINT",,,,,,,,,,"exterior door hande// and engine light",
59765,"Q 65278","HYUNDAI VELOSTER - Grey - 2019 - Q 65278",1712,IN,2023-10-01,2023-10-01,2023-10-01,2023-10-01,ABDULLAH,,,"POWER POINT",,,,,,,,,,"right engine mount replaced",
59766,"T 53963","INFINITI QX80 BLACK HAWK - Black - 2019 - T 53963",1775,OUT,2023-10-01,2023-10-01,2023-10-01,,ABDULLAH,,,"POWER POINT",,,,,,,,,,"front grill and fuel level sensor",
59767,"T 53963","INFINITI QX80 BLACK HAWK - Black - 2019 - T 53963",1775,IN,2023-10-01,2023-10-01,2023-10-01,2023-10-01,ABDULLAH,,,"POWER POINT",,,,,,,,,,"front grill fiixed , no problem with fuel level as per abdullah",
59768,"T 91463","JAGUAR F PACE - Orange - 2020 - T 91463",1831,OUT,2023-10-01,2023-10-01,2023-10-01,,ABDULLAH,,,"TIRE AND MORE",,,,,,,,,,"oil and filter changing",
59769,"T 91463","JAGUAR F PACE - Orange - 2020 - T 91463",1831,IN,2023-10-01,2023-10-01,2023-10-01,2023-10-01,ABDULLAH,,,"TIRE AND MORE",,,,,,,,,,"oil and filter changing",
59770,"S 52895","MERCEDES CLA250 - Black - 2018 - S 52895",1716,IN,2023-10-01,2023-10-01,2023-10-01,2023-10-01,ABDULLAH,,,"ALQWH AL ZAADH",,,,,,,,,,"auixilary battery replaced , turbo coolant plastic hose replaced",
59771,"K 20773","NISSAN PATROL - Brown - 2019 - K 20773",1835,"Follow up",2023-10-01,2023-10-02,2023-10-01,,,,,"ISSA ALABD",,,,,,,,,,"cruise control button malufactor",
59772,"R 90428","NISSAN PATROL BLACK HAWK - Black - 2019 - R 90428",1799,OUT,,2023-10-01,2023-10-01,,"Abo Adam",,,"TIRE AND MORE",,,,,,,,,,"oil and filter changing",
59773,"R 90428","NISSAN PATROL BLACK HAWK - Black - 2019 - R 90428",1799,IN,,2023-10-01,2023-10-01,,"Abo Adam",,,"TIRE AND MORE",,,,,,,,,,"oil and filter changed",
59774,"W 82153","NISSAN PATROL GREY HAWK - Grey Orange - 2019 - W 82153",1774,OUT,,2023-10-01,2023-10-01,,ABDULLAH,,,"TIRE AND MORE",,,,,,,,,,"car is not starting , oil and filter changing",
59775,"W 82153","NISSAN PATROL GREY HAWK - Grey Orange - 2019 - W 82153",1774,IN,,2023-10-01,2023-10-01,,ABDULLAH,,,"TIRE AND MORE",,,,,,,,,,"oil and filter changed , battery replaced",
59776,"P 71968","CHEVROLET CAMARO Conv - Black Red - 2019 - P 71968",1767,OUT,2023-10-02,2023-10-02,2023-10-02,,ABDULLAH,,,"POWER POINT",,,,,,,,,,"rear windshiled needs fixing",
59777,"P 71968","CHEVROLET CAMARO Conv - Black Red - 2019 - P 71968",1767,IN,2023-10-02,2023-10-02,2023-10-02,2023-10-02,ABDULLAH,,,"POWER POINT",,,,,,,,,,"rear windshiled fixed",
59778,"O 3125","DODGE CHALLENGER - Black Green - 2020 - O 3125",1741,IN,2023-10-01,2023-10-02,2023-10-02,2023-10-02,ABDULLAH,,,"HOT LINE",,,,,,,,,,"hood and 4 fender covers painted",
59779,"X 81837","DODGE CHARGER - Black Yellow - 2021 - X 81837",1758,OUT,2023-10-02,2023-10-02,2023-10-02,,ABDULLAH,,,"POWER POINT",,,,,,,,,,"front lip broken",
59780,"X 81837","DODGE CHARGER - Black Yellow - 2021 - X 81837",1758,IN,2023-10-02,2023-10-02,2023-10-02,2023-10-02,ABDULLAH,,,"POWER POINT",,,,,,,,,,"front lip fixed , oil and filter changed , oil leakage found from oil pan bolt under testing",
59781,"K 20797","FORD MUSTANG - Red Black - 2021 - K 20797",1812,"Follow up",2023-10-01,2023-10-03,2023-10-02,,,,,"POWER POINT",,,,,,,,,,"still working with ABS wire , and mirror needs replacment for blindspot// the mirror will be sent to hotline to replace it with a mirror with blind spot cause they bought it and the car is ready from power point/// there was a wire disconnecting ( from mirror till rear bumper ) //// mirror installed , changing seatbelt into red tmw will go to hotline for mirror painting",
59782,"G 54092","FORD MUSTANG Conv - Grey Black - 2019 - G 54092",1761,"Follow up",2023-10-01,2023-10-03,2023-10-02,,Waqar,,,"POWER POINT",,,,,,,,,,"exterior door hande// and engine light",
59783,"S 13049","FORD MUSTANG Conv - Silver Blue Black - 2019 - S 13049",1940,"Follow up",2023-10-01,2023-10-02,2023-10-02,,ABDULLAH,,,"7 CYLINDER",,,,,,,,,,"rear rims scratches , right side lip",
59784,"S 13049","FORD MUSTANG Conv - Silver Blue Black - 2019 - S 13049",1940,IN,2023-10-01,2023-10-02,2023-10-02,2023-10-02,ABDULLAH,,,"7 CYLINDER",,,,,,,,,,"rear rims painted and side lip fixed and painted",
59785,"T 91432","LAND ROVER DISCOVERY - White - 2020 - T 91432",1821,OUT,2023-10-02,2023-10-02,2023-10-02,,ABDULLAH,,,"TIRE AND MORE",,,,,,,,,,"oil and filter changing",
59786,"T 91432","LAND ROVER DISCOVERY - White - 2020 - T 91432",1821,IN,2023-10-02,2023-10-02,2023-10-02,,ABDULLAH,,,"TIRE AND MORE",,,,,,,,,,"oil and filter changing",
59787,"T 91432","LAND ROVER DISCOVERY - White - 2020 - T 91432",1821,Change,2023-10-02,2023-10-03,2023-10-02,,ABDULLAH,,,"7 CYLINDER",,,,,,,,,,"rim scratches , body scratches , front sensor needs fixing",
59788,"I 19131","MERCEDES C63S AMG - Black - 2018 - I 19131",1715,OUT,2023-10-02,2023-10-02,2023-10-02,,ABDULLAH,,,"7 CYLINDER",,,,,,,,,,"2 rims scratch and front right tire damage , and steering wheel needs upholstery",
59789,"K 20773","NISSAN PATROL - Brown - 2019 - K 20773",1835,"Follow up",2023-10-01,2023-10-04,2023-10-02,,,,,"ISSA ALABD",,,,,,,,,,"replacing the abs for the 3rd time",
59790,"G 87143","NISSAN PATROL - Tiffany Black - 2020 - G 87143",1834,OUT,2023-10-02,2023-10-03,2023-10-02,,TAYEEF,,,"HOT LINE",,,,,,,,,,"air leak inside the car , front left fender cover , front right tire touching the fender , camera programming",
59791,"G 51363","NISSAN PATROL BLACK HAWK - Black - 2019 - G 51363",1762,OUT,,2023-10-02,2023-10-02,,ABDULLAH,,,"7 CYLINDER",,,,,,,,,,"rims scrathes , ac need to check",
59792,"G 51363","NISSAN PATROL BLACK HAWK - Black - 2019 - G 51363",1762,IN,,2023-10-02,2023-10-02,,ABDULLAH,,,"7 CYLINDER",,,,,,,,,,"4 rims painted",
59793,"G 51363","NISSAN PATROL BLACK HAWK - Black - 2019 - G 51363",1762,Change,,2023-10-03,2023-10-02,,ABDULLAH,,,"POWER POINT",,,,,,,,,,"ac need to check",
59794,"Y 81147","NISSAN PATROL BLUE HAWK - Blue - 2019 - Y 81147",1792,OUT,,2023-10-03,2023-10-02,,,,,"POWER POINT",,,,,,,,,,"engine and airbag light",
59795,"Y 15721","NISSAN PATROL NISMO - Silver Black - 2020 - Y 15721",1795,"Follow up",,2023-10-02,2023-10-02,,PETER,,,"POWER POINT",,,,,,,,,,"airbag light and front sensor",
59796,"Y 15721","NISSAN PATROL NISMO - Silver Black - 2020 - Y 15721",1795,IN,,2023-10-02,2023-10-02,,PETER,,,"POWER POINT",,,,,,,,,,"air bag wire fixed , sensor correctly fixed , oil and filter changed",
59797,"Y 32506","CHRYSLER 300 - Black - 2019 - Y 32506",1786,OUT,2023-10-03,2023-10-03,2023-10-03,,ABDULLAH,,,"POWER POINT",,,,,,,,,,"engine under cover fixing",
59798,"Y 32506","CHRYSLER 300 - Black - 2019 - Y 32506",1786,IN,2023-10-03,2023-10-03,2023-10-03,2023-10-03,ABDULLAH,,,"POWER POINT",,,,,,,,,,"new engine under cover and front bumper down cover replaced",
59799,"K 20797","FORD MUSTANG - Red Black - 2021 - K 20797",1812,"Follow up",2023-10-01,2023-10-03,2023-10-03,,,,,"POWER POINT",,,,,,,,,,"still working with ABS wire , and mirror needs replacment for blindspot// the mirror will be sent to hotline to replace it with a mirror with blind spot cause they bought it and the car is ready from power point/// there was a wire disconnecting ( from mirror till rear bumper ) //// mirror installed , changing seatbelt into red tmw will go to hotline for mirror painting /// car ready from power point /// ready",
59800,"V 63249","FORD MUSTANG Conv - Blue Orange - 2020 - V 63249",1776,OUT,2023-10-03,2023-10-03,2023-10-03,,FARHAN,,,"POWER POINT",,,,,,,,,,"rear left light , TPMS , rear plate needs fixing",
59801,"V 63249","FORD MUSTANG Conv - Blue Orange - 2020 - V 63249",1776,IN,2023-10-03,2023-10-03,2023-10-03,,FARHAN,,,"POWER POINT",,,,,,,,,,"rear left light wire and rear plate fixed",
59802,"V 63249","FORD MUSTANG Conv - Blue Orange - 2020 - V 63249",1776,Change,2023-10-03,2023-10-03,2023-10-03,,FARHAN,,,"TIRE AND MORE",,,,,,,,,,"TMPS light",
59803,"V 63249","FORD MUSTANG Conv - Blue Orange - 2020 - V 63249",1776,IN,2023-10-03,2023-10-03,2023-10-03,2023-10-03,FARHAN,,,"TIRE AND MORE",,,,,,,,,,"TMPS light checked and no problem",
59804,"T 47927","FORD MUSTANG Conv - Orange Black - 2020 - T 47927",1740,OUT,2023-10-03,2023-10-04,2023-10-03,,ABDULLAH,,,"7 CYLINDER",,,,,,,,,,"2 rims scratches and front lip and front right interior fender cover",
59805,"F 75952","JEEP COMPASS - Black - 2018 - F 75952",1711,OUT,2023-10-03,2023-10-03,2023-10-03,,ABDULLAH,,,"POWER POINT",,,,,,,,,,"engine light and oil and filter changing",
59806,"F 75952","JEEP COMPASS - Black - 2018 - F 75952",1711,IN,2023-10-03,2023-10-03,2023-10-03,2023-10-03,ABDULLAH,,,"POWER POINT",,,,,,,,,,"engine light and oil and filter changing",
59807,"T 91432","LAND ROVER DISCOVERY - White - 2020 - T 91432",1821,IN,2023-10-02,2023-10-03,2023-10-03,2023-10-03,ABDULLAH,,,"7 CYLINDER",,,,,,,,,,"4 rims painted",
59808,"I 19131","MERCEDES C63S AMG - Black - 2018 - I 19131",1715,"Follow up",2023-10-02,2023-10-04,2023-10-03,,ABDULLAH,,,"7 CYLINDER",,,,,,,,,,"2 rims scratch and front right tire damage , and steering wheel needs upholstery",
59809,"I 19131","MERCEDES C63S AMG - Black - 2018 - I 19131",1715,IN,2023-10-02,2023-10-04,2023-10-03,,ABDULLAH,,,"7 CYLINDER",,,,,,,,,,"4 rims painted",
59810,"I 19131","MERCEDES C63S AMG - Black - 2018 - I 19131",1715,Change,2023-10-02,2023-10-04,2023-10-03,,ABDULLAH,,,classico,,,,,,,,,,"steering wheel needs upholstery/// ready",
59811,"K 20783","MERCEDES GLE 350 - White - 2022 - K 20783",1837,IN,2023-10-01,2023-10-03,2023-10-03,,,,,"SMART CAR",,,,,,,,,,"dome light wires fixed , bonnet lock fixed , airbag front left sensor replaced , coolant pump wires fixed , accelerator sensor replaced",
59812,"K 20783","MERCEDES GLE 350 - White - 2022 - K 20783",1837,Change,2023-10-01,2023-10-04,2023-10-03,,,,,"HOT LINE",,,,,,,,,,,
59813,"G 87143","NISSAN PATROL - Tiffany Black - 2020 - G 87143",1834,IN,2023-10-02,2023-10-03,2023-10-03,2023-10-03,TAYEEF,,,"HOT LINE",,,,,,,,,,"front left fender refixed",
59814,"G 51363","NISSAN PATROL BLACK HAWK - Black - 2019 - G 51363",1762,IN,,2023-10-03,2023-10-03,,ABDULLAH,,,"POWER POINT",,,,,,,,,,"ac is okay",
59815,"Y 15721","NISSAN PATROL NISMO - Silver Black - 2020 - Y 15721",1795,OUT,,2023-10-04,2023-10-03,,Waqar,,,"ISSA ALABD",,,,,,,,,,"cruise control radar fix",
59816,"T 89529","CHEVROLET CAMARO - Red Black - 2020 - T 89529",1743,OUT,2023-10-04,2023-10-06,2023-10-04,,ABDULLAH,,,"HOT LINE",,,,,,,,,,"front bumper and grill needs to fix and front left door need to check , engine undercover , and fenders cover , and oil changing",
59817,"X 94823","DODGE CHARGER DAYTONA - Orange Black - 2020 - X 94823",1748,OUT,2023-10-04,2023-10-04,2023-10-04,,IMRAN,,,"7 CYLINDER",,,,,,,,,,"2 right rims scratch",
59818,"X 94823","DODGE CHARGER DAYTONA - Orange Black - 2020 - X 94823",1748,IN,2023-10-04,2023-10-04,2023-10-04,2023-10-04,IMRAN,,,"7 CYLINDER",,,,,,,,,,"2 right rims painted",
59819,"G 54092","FORD MUSTANG Conv - Grey Black - 2019 - G 54092",1761,IN,2023-10-01,2023-10-04,2023-10-04,2023-10-04,Waqar,,,"POWER POINT",,,,,,,,,,"exterior door hande fixed / and engine light",
59820,"T 47927","FORD MUSTANG Conv - Orange Black - 2020 - T 47927",1740,IN,2023-10-03,2023-10-04,2023-10-04,2023-10-04,ABDULLAH,,,"7 CYLINDER",,,,,,,,,,"2 rims scratches and front lip and front right interior fender cover",
59821,"S 13049","FORD MUSTANG Conv - Silver Blue Black - 2019 - S 13049",1940,OUT,2023-10-04,2023-10-06,2023-10-04,,Waqar,,,"HOT LINE",,,,,,,,,,"accident ///",
59822,"G 53308","FORD TAURUS - Black - 2019 - G 53308",1759,OUT,2023-10-04,2023-10-05,2023-10-04,,ABDULLAH,,,"POWER POINT",,,,,,,,,,"air bag light and rim scratch",
59823,"G 53308","FORD TAURUS - Black - 2019 - G 53308",1759,IN,2023-10-04,2023-10-04,2023-10-04,2023-10-04,ABDULLAH,,,"POWER POINT",,,,,,,,,,"air bag light fixed",
59824,"I 29962","JAGUAR E-PACE - Black - 2021 - I 29962",1790,OUT,2023-10-04,2023-10-04,2023-10-04,,PETER,,,"TIRE AND MORE",,,,,,,,,,"oil and filter changing",
59825,"X 76815","MG6 - Red - 2019 - X 76815",1806,Delay,2023-10-01,,2023-10-04,,,,,"HOT LINE",,,,,,,,,,"parts recieved , radiator and consender will recieve tmw // didn't receive the radiater and consender yet , trasmission crack case replaced\\ painting started all parts arrived",
59826,"K 20773","NISSAN PATROL - Brown - 2019 - K 20773",1835,IN,2023-10-01,2023-10-04,2023-10-04,,,,,"ISSA ALABD",,,,,,,,,,,
59827,"K 20773","NISSAN PATROL - Brown - 2019 - K 20773",1835,Change,2023-10-01,2023-10-06,2023-10-04,,,,,"AL IKHLAS",,,,,,,,,,"trying with the ABS",
59828,"G 51363","NISSAN PATROL BLACK HAWK - Black - 2019 - G 51363",1762,OUT,,2023-10-05,2023-10-04,,UZAIR,,,"POWER POINT",,,,,,,,,,"4x4 stuck",
59829,"R 90428","NISSAN PATROL BLACK HAWK - Black - 2019 - R 90428",1799,OUT,,2023-10-05,2023-10-04,,ABDULLAH,,,"HOT LINE",,,,,,,,,,"rear right door paint needs to fix , battery need to change , sound from rear side",
59830,"Y 81147","NISSAN PATROL BLUE HAWK - Blue - 2019 - Y 81147",1792,IN,,2023-10-04,2023-10-04,,ABDULLAH,,,"POWER POINT",,,,,,,,,,"thermostat and coolant liquid replaced , rear setbelt lock replaced",
59831,"Y 15721","NISSAN PATROL NISMO - Silver Black - 2020 - Y 15721",1795,IN,,2023-10-04,2023-10-04,,Waqar,,,"ISSA ALABD",,,,,,,,,,"cruise control radar bracket fixed",
