contract_no,contract_id,om_income,reconstructed_income,residual,pct_diff,salik_debit,extra_charges_debit,damages_debit,breachs_debit,discount,co_driver_cost,salesman_comm1,salesman_comm2
84856,145333,1220,1100,120,9.8,21.00,99.04,0.00,0.00,495.23,0.00,0.00,0.00
84855,145335,1850.25,1730.25,120,6.5,14.00,99.04,0.00,0.00,900.23,0.00,0.00,0.00
84854,145336,1845.25,1725.25,120,6.5,21.00,99.04,0.00,0.00,695.23,0.00,0.00,0.00
84853,145337,1157.75,1037.75,120,10.4,14.00,99.04,0.00,150.00,337.73,0.00,0.00,0.00
84851,145338,2030.25,1910.25,120,5.9,14.00,99.04,0.00,0.00,845.23,0.00,0.00,0.00
84803,145390,1910.02,1710,200.02,10.5,58.00,5.71,1238.20,0.00,550.00,0.00,0.00,0.00
84798,145393,3011.65,2691.65,320,10.6,172.00,9.52,0.00,0.00,0.00,0.00,0.00,0.00
84852,145426,1150.25,1030.25,120,10.4,21.00,99.04,0.00,0.00,330.23,0.00,0.00,0.00
84757,145443,968,800,168,17.4,24.00,5.33,0.00,0.00,0.00,0.00,0.00,15.00
84742,145460,2708.4,2430,278.4,10.3,38.00,21.31,0.00,200.00,0.00,0.00,0.00,0.00
84741,145461,1583,1415,168,10.6,111.00,5.33,0.00,0.00,0.00,0.00,0.00,0.00
84725,145480,1698.09,1578.09,120,7.1,67.00,28.61,571.42,650.00,0.00,0.00,0.00,0.00
84718,145488,2009.48,1809.48,200,10,66.00,15.23,0.00,0.00,0.00,0.00,0.00,0.00
84710,145500,2859,2619,240,8.4,0.00,7.62,0.00,0.00,0.00,0.00,0.00,0.00
84709,145501,1470,1350,120,8.2,32.00,3.81,95.24,0.00,450.00,0.00,0.00,0.00
84708,145502,968,800,168,17.4,87.00,38.33,0.00,0.00,0.00,0.00,0.00,0.00
84698,145517,2200,2000,200,9.1,25.00,0.00,0.00,1450.00,0.00,0.00,0.00,0.00
84662,145553,420,300,120,28.6,48.00,190.48,0.00,0.00,0.00,0.00,0.00,0.00
84657,145558,1080,960,120,11.1,0.00,3.81,0.00,440.00,0.00,0.00,0.00,0.00
84652,145565,1142,998,144,12.6,22.00,142.80,0.00,0.00,0.00,0.00,0.00,15.00
84650,145568,2670,2430,240,9,83.00,7.62,0.00,0.00,0.00,0.00,0.00,0.00
84638,145582,818,650,168,20.5,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
84636,145583,2118,1950,168,7.9,93.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00
84634,145586,1406.07,1238.07,168,11.9,154.00,13.90,0.00,0.00,0.00,0.00,0.00,0.00
84627,145595,2660,2500,160,6,0.00,933.33,571.43,0.00,500.00,0.00,0.00,0.00
84624,145598,2498,2330,168,6.7,36.00,61.33,0.00,0.00,460.00,0.00,0.00,15.00
84590,145634,1608,1440,168,10.4,58.00,5.33,380.95,0.00,0.00,0.00,0.00,0.00
84578,145645,1893,1725,168,8.9,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
84570,145657,1024.38,952.38,72,7,0.00,2.29,0.00,0.00,0.00,0.00,0.00,0.00
84566,145660,1770,1650,120,6.8,42.00,3.81,0.00,0.00,0.00,0.00,0.00,0.00
84564,145662,3118,2830,288,9.2,74.00,247.23,0.00,200.00,0.00,0.00,0.00,15.00
84555,145673,983,815,168,17.1,10.00,5.33,0.00,0.00,215.00,0.00,0.00,0.00
84554,145675,2918,2750,168,5.8,44.00,106.57,571.42,330.00,550.00,0.00,0.00,0.00
84516,145713,5488,5200,288,5.2,10.00,715.14,0.00,0.00,0.00,0.00,0.00,15.00
84509,145719,2900,2500,400,13.8,170.00,50.95,0.00,650.00,0.00,0.00,0.00,15.00
84507,145721,1508,1340,168,11.1,27.00,5.33,0.00,0.00,0.00,0.00,0.00,0.00
84505,145723,2008,1840,168,8.4,51.00,0.00,0.00,0.00,600.00,0.00,0.00,0.00
84502,145726,596.57,428.57,168,28.2,22.00,5.33,0.00,0.00,428.57,0.00,0.00,15.00
84497,145731,804,580,224,27.9,0.00,190.47,0.00,0.00,0.00,0.00,0.00,15.00
84495,145734,1518,1350,168,11.1,24.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00
84494,145735,900,780,120,13.3,136.00,27.81,0.00,0.00,0.00,0.00,0.00,0.00
